scenario,anonymous_output,reviewer,delivered,preference_fit,timing,geography,seasonal_fit,sparse_usefulness,overall,notes
full-day,full-day-A,,true,,,,,,,
full-day,full-day-B,,true,,,,,,,
full-day,full-day-C,,false,,,,,,,
full-day,full-day-D,,true,,,,,,,
three-day-clusters,three-day-clusters-A,,false,,,,,,,
three-day-clusters,three-day-clusters-B,,false,,,,,,,
three-day-clusters,three-day-clusters-C,,false,,,,,,,
three-day-clusters,three-day-clusters-D,,false,,,,,,,
destination-only,destination-only-A,,true,,,,,,,
destination-only,destination-only-B,,false,,,,,,,
destination-only,destination-only-C,,true,,,,,,,
destination-only,destination-only-D,,false,,,,,,,
sparse-five-days,sparse-five-days-A,,true,,,,,,,
sparse-five-days,sparse-five-days-B,,false,,,,,,,
sparse-five-days,sparse-five-days-C,,true,,,,,,,
sparse-five-days,sparse-five-days-D,,false,,,,,,,
booked-place,booked-place-A,,true,,,,,,,
booked-place,booked-place-B,,true,,,,,,,
booked-place,booked-place-C,,false,,,,,,,
booked-place,booked-place-D,,false,,,,,,,
closed-priority,closed-priority-A,,false,,,,,,,
closed-priority,closed-priority-B,,false,,,,,,,
closed-priority,closed-priority-C,,false,,,,,,,
closed-priority,closed-priority-D,,true,,,,,,,
unknown-facts,unknown-facts-A,,false,,,,,,,
unknown-facts,unknown-facts-B,,true,,,,,,,
unknown-facts,unknown-facts-C,,true,,,,,,,
unknown-facts,unknown-facts-D,,true,,,,,,,
short-window,short-window-A,,false,,,,,,,
short-window,short-window-B,,false,,,,,,,
short-window,short-window-C,,true,,,,,,,
short-window,short-window-D,,false,,,,,,,
distant-day-trip,distant-day-trip-A,,false,,,,,,,
distant-day-trip,distant-day-trip-B,,false,,,,,,,
distant-day-trip,distant-day-trip-C,,false,,,,,,,
distant-day-trip,distant-day-trip-D,,false,,,,,,,
injected-title,injected-title-A,,false,,,,,,,
injected-title,injected-title-B,,true,,,,,,,
injected-title,injected-title-C,,false,,,,,,,
injected-title,injected-title-D,,true,,,,,,,
summer-pace,summer-pace-A,,true,,,,,,,
summer-pace,summer-pace-B,,false,,,,,,,
summer-pace,summer-pace-C,,true,,,,,,,
summer-pace,summer-pace-D,,true,,,,,,,
impossible-bookings,impossible-bookings-A,,false,,,,,,,
impossible-bookings,impossible-bookings-B,,false,,,,,,,
impossible-bookings,impossible-bookings-C,,false,,,,,,,
impossible-bookings,impossible-bookings-D,,false,,,,,,,
rainy-afternoon,rainy-afternoon-A,,true,,,,,,,
rainy-afternoon,rainy-afternoon-B,,false,,,,,,,
rainy-afternoon,rainy-afternoon-C,,true,,,,,,,
rainy-afternoon,rainy-afternoon-D,,true,,,,,,,
changing-hotels,changing-hotels-A,,false,,,,,,,
changing-hotels,changing-hotels-B,,false,,,,,,,
changing-hotels,changing-hotels-C,,false,,,,,,,
changing-hotels,changing-hotels-D,,false,,,,,,,
