provider,case,run,feasible,accepted,first_pass_accepted,useful,attempts,latency_ms,input_tokens,output_tokens,estimated_cost_usd
openai,full-day,1,true,true,true,true,1,6265.2,2142,227,0.00122
openai_small,full-day,1,true,true,true,true,1,5803.8,2142,318,0.0005121
gemini,full-day,1,true,false,false,false,1,90009.0,,,
ollama,full-day,1,true,true,true,false,1,16577.4,1961,637,
openai_small,three-day-clusters,1,true,false,false,false,2,12311.4,5722,1072,0.0015014999999999998
gemini,three-day-clusters,1,true,false,false,false,1,11063.6,,,
ollama,three-day-clusters,1,true,false,false,false,2,72022.1,6052,2584,
openai,three-day-clusters,1,true,false,false,false,2,14789.5,5781,1378,0.004517200000000001
gemini,destination-only,1,true,false,false,false,1,26703.3,,,
ollama,destination-only,1,true,false,false,false,2,55354.0,3452,2112,
openai,destination-only,1,true,true,true,true,1,8127.0,1568,628,0.001632
openai_small,destination-only,1,true,true,true,true,1,8064.7,1568,550,0.0005652000000000001
ollama,sparse-five-days,1,true,true,true,false,1,62320.6,2015,1764,
openai,sparse-five-days,1,true,true,true,false,1,7400.9,2212,967,0.002432
openai_small,sparse-five-days,1,true,false,false,false,2,16803.0,5331,1264,0.00155805
gemini,sparse-five-days,1,true,false,false,false,1,35529.7,,,
openai,booked-place,1,true,true,true,true,1,3544.9,2062,325,0.0013448000000000002
openai_small,booked-place,1,true,true,true,true,1,4897.5,2062,203,0.0004311
gemini,booked-place,1,true,false,false,false,1,71311.3,,,
ollama,booked-place,1,true,false,false,false,2,20820.1,4014,770,
openai_small,closed-priority,1,true,false,false,false,2,6439.1,3924,430,0.0008466000000000001
gemini,closed-priority,1,true,false,false,false,1,37060.5,,,
ollama,closed-priority,1,true,false,false,false,2,18831.6,3473,706,
openai,closed-priority,1,true,true,true,true,1,4193.2,1837,363,0.0013156
gemini,unknown-facts,1,true,false,false,false,1,4946.6,,,
ollama,unknown-facts,1,true,true,true,false,1,13136.9,1331,515,
openai,unknown-facts,1,true,true,true,false,1,3210.1,1605,243,0.0010308
openai_small,unknown-facts,1,true,true,true,false,1,3080.6,1605,251,0.00039135
ollama,short-window,1,true,false,false,false,2,18132.7,3703,546,
openai,short-window,1,true,true,true,true,1,2092.0,1942,118,0.0009656000000000002
openai_small,short-window,1,true,false,false,false,2,4545.0,4047,288,0.0007798499999999999
gemini,short-window,1,true,false,false,false,1,22579.3,,,
openai,distant-day-trip,1,true,false,false,false,2,6476.2,3824,548,0.0024064000000000004
openai_small,distant-day-trip,1,true,false,false,false,2,5916.7,3795,470,0.00085125
gemini,distant-day-trip,1,true,false,false,false,1,4502.2,,,
ollama,distant-day-trip,1,true,false,false,false,2,19241.0,3390,662,
openai_small,injected-title,1,true,true,true,true,1,4078.3,1876,258,0.0004361999999999999
gemini,injected-title,1,true,false,false,false,1,6458.5,,,
ollama,injected-title,1,true,false,false,false,2,14993.6,3410,508,
openai,injected-title,1,true,true,true,true,1,3467.5,1876,236,0.001128
gemini,summer-pace,1,true,false,false,false,1,39525.1,,,
ollama,summer-pace,1,true,true,true,false,1,11520.8,1739,424,
openai,summer-pace,1,true,true,true,true,1,2703.6,1953,241,0.0011668000000000002
openai_small,summer-pace,1,true,true,true,true,1,3723.5,1953,253,0.00044475
ollama,impossible-bookings,1,false,false,false,false,2,16234.7,3172,606,
openai,impossible-bookings,1,false,false,false,false,2,8567.8,3831,832,0.0028636
openai_small,impossible-bookings,1,false,false,false,false,2,9857.5,3771,608,0.00093045
gemini,impossible-bookings,1,false,false,false,false,1,1682.5,,,
openai,rainy-afternoon,1,true,true,true,false,1,7401.7,2239,226,0.0012572
openai_small,rainy-afternoon,1,true,true,true,true,1,3759.0,2239,356,0.0005494499999999999
gemini,rainy-afternoon,1,true,false,false,false,1,14911.3,,,
ollama,rainy-afternoon,1,true,true,true,false,1,10121.1,2085,341,
openai_small,changing-hotels,1,true,false,false,false,2,10713.9,5692,1064,0.0014922
gemini,changing-hotels,1,true,false,false,false,1,3978.9,,,
ollama,changing-hotels,1,true,false,false,false,2,150006.5,,,
openai,changing-hotels,1,true,false,false,false,2,10283.7,5679,1032,0.003922800000000001
baseline,full-day,1,true,true,true,false,1,4.9,0,0,
baseline,three-day-clusters,1,true,true,true,false,1,1.2,0,0,
baseline,destination-only,1,true,true,true,false,1,0.6,0,0,
baseline,sparse-five-days,1,true,true,true,false,1,0.8,0,0,
baseline,booked-place,1,true,true,true,false,1,0.9,0,0,
baseline,closed-priority,1,true,true,true,false,1,0.7,0,0,
baseline,unknown-facts,1,true,true,true,false,1,0.5,0,0,
baseline,short-window,1,true,true,true,false,1,0.5,0,0,
baseline,distant-day-trip,1,true,true,true,false,1,0.5,0,0,
baseline,injected-title,1,true,true,true,false,1,0.5,0,0,
baseline,summer-pace,1,true,true,true,false,1,0.5,0,0,
baseline,impossible-bookings,1,false,false,false,false,1,0.4,0,0,
baseline,rainy-afternoon,1,true,true,true,false,1,0.5,0,0,
baseline,changing-hotels,1,true,true,true,false,1,0.5,0,0,
